Student Roll No,Course Number,Reason for Not allotting Preference
CH15B084,CH5200$inside,Slot Clash with already allotted elective course CH5015
CH15B084,CH5200$outside,Slot Clash with already allotted elective course CH5015
CH15B084,CH5013$inside,Slot Clash with already allotted elective course CH5015
CH15B084,CH5013$outside,Slot Clash with already allotted elective course CH5015
CH15B084,MS3540$outside,Slot Clash with already allotted elective course CH5015
CH15B084,HS3280$outside,Slot Clash with already allotted elective course BT2082
CH15B084,MS3590$outside,Slot Clash with already allotted elective course BT2082
CH15B086,CH5023$inside,For this student max credits in semester is 63 and Core courses registered are CH3521(6 credits)+CH3021(5 credits)+CH3052(10 credits)+CH3050(10 credits)+CH5200(9 credits)+CH5015(9 credits)+ and the following electives which have a higher preference got allotted : BT2022(10 credits)+ and CH5023 takes 9 credits which is greater than the remaining 4 elective credits.
CH15B086,CH5023$outside,For this student max credits in semester is 63 and Core courses registered are CH3521(6 credits)+CH3021(5 credits)+CH3052(10 credits)+CH3050(10 credits)+CH5200(9 credits)+CH5015(9 credits)+ and the following electives which have a higher preference got allotted : BT2022(10 credits)+ and CH5023 takes 9 credits which is greater than the remaining 4 elective credits.
CH15B095,CH5023$outside,Already allotted to inside department version of the course
CH15B095,BT2022$outside,For this student max credits in semester is 63 and Core courses registered are CH3521(6 credits)+CH3021(5 credits)+CH3052(10 credits)+CH3050(10 credits)+CH5200(9 credits)+CH5015(9 credits)+ and the following electives which have a higher preference got allotted : CH5023(9 credits)+ and BT2022 takes 10 credits which is greater than the remaining 5 elective credits.
CH16B001,CH6020$outside,Already allotted to inside department version of the course
CH16B023,MA2031$outside,Course capacity is full.
CH16B028,CS1200$outside,For this student max credits in semester is 63 and Core courses registered are CY2010(9 credits)+CH2014(10 credits)+CH2015(10 credits)+CH2016(5 credits)+EE1100(10 credits)+HS1110(9 credits)+ and the following electives which have a higher preference got allotted : MS3540(9 credits)+ and CS1200 takes 10 credits which is greater than the remaining 1 elective credits.
CH16B028,PH5813$outside,Slot Clash with already allotted elective course MS3540
CH16B028,MA2030$outside,For this student max credits in semester is 63 and Core courses registered are CY2010(9 credits)+CH2014(10 credits)+CH2015(10 credits)+CH2016(5 credits)+EE1100(10 credits)+HS1110(9 credits)+ and the following electives which have a higher preference got allotted : MS3540(9 credits)+ and MA2030 takes 9 credits which is greater than the remaining 1 elective credits.
CH16B039,HS2370$outside,Slot Clash with already allotted elective course HS2370A
CH16B039,HS4002$outside,Slot Clash with already allotted elective course HS2370A
CH16B039,HS3280A$outside,Slot Clash with already allotted elective course HS2370A
CH16B039,MA2040$outside,Course capacity is full.
CH16B039,MA2031$outside,Course capacity is full.
CH16B039,CH5470$outside,Already allotted to inside department version of the course
CH16B043,MA2031$outside,Course capacity is full.
CH16B043,MA2030$outside,For this student max credits in semester is 63 and Core courses registered are CY2010(9 credits)+CH2014(10 credits)+CH2015(10 credits)+CH2016(5 credits)+EE1100(10 credits)+HS1090(9 credits)+ and the following electives which have a higher preference got allotted : MS3540(9 credits)+ and MA2030 takes 9 credits which is greater than the remaining 1 elective credits.
CH16B043,MA2020$outside,For this student max credits in semester is 63 and Core courses registered are CY2010(9 credits)+CH2014(10 credits)+CH2015(10 credits)+CH2016(5 credits)+EE1100(10 credits)+HS1090(9 credits)+ and the following electives which have a higher preference got allotted : MS3540(9 credits)+ and MA2020 takes 9 credits which is greater than the remaining 1 elective credits.
CH16B057,HS2370$outside,Slot Clash with already allotted elective course HS3280
CH16B057,HS3090$outside,Slot Clash with already allotted elective course HS3280
CH16B059,MS3540$outside,For this student max credits in semester is 63 and Core courses registered are CY2010(9 credits)+CH2014(10 credits)+CH2015(10 credits)+CH2016(5 credits)+EE1100(10 credits)+HS3002D(9 credits)+ and the following electives which have a higher preference got allotted : MA2031(9 credits)+ and MS3540 takes 9 credits which is greater than the remaining 1 elective credits.
CH16B070,MA2040$outside,Course capacity is full.
CH16B111,MA2040$outside,Course capacity is full.
CH16B117,HS3090$outside,Slot Clash with already allotted elective course HS4210
CH16B117,HS2370$outside,Slot Clash with already allotted elective course HS4210
CH16B117,HS2370A$outside,Slot Clash with already allotted elective course HS4210
CH16B117,HS4450$outside,Slot Clash with already allotted elective course HS4210
CH16B117,HS4002$outside,Slot Clash with already allotted elective course HS4210
CS15B004,ID4100$outside,Course capacity is full.
CS15B016,CS6170$outside,Already allotted to inside department version of the course
CS15B016,CS6847$inside,Slot Clash with already allotted elective course CS6170
CS15B016,CS6847$outside,Slot Clash with already allotted elective course CS6170
CS15B016,CS6852$inside,Slot Clash with already allotted elective course CS6170
CS15B016,CS6852$outside,Slot Clash with already allotted elective course CS6170
CS15B016,CS6843$inside,Slot Clash with already allotted elective course CS6170
CS15B016,CS6843$outside,Slot Clash with already allotted elective course CS6170
CS15B018,BT2020$outside,Slot Clash with already allotted elective course MA2020
CS15B018,MA2031$outside,Slot Clash with already allotted elective course MA2020
CS15B018,MA2030$outside,Slot Clash with already allotted elective course MA2020
CS15B018,CS6530$inside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+PH1020(10 credits)+CS6843(12 credits)+CS3205(12 credits)+ and the following electives which have a higher preference got allotted : MA2020(9 credits)+ and CS6530 takes 12 credits which is greater than the remaining 11 elective credits.
CS15B018,CS6530$outside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+PH1020(10 credits)+CS6843(12 credits)+CS3205(12 credits)+ and the following electives which have a higher preference got allotted : MA2020(9 credits)+ and CS6530 takes 12 credits which is greater than the remaining 11 elective credits.
CS15B018,HS2370A$outside,Slot Clash with already allotted elective course HS2370
CS15B018,BT2082$outside,Slot Clash with already allotted elective course HS2370
CS15B023,CS3205$outside,Already allotted to inside department version of the course
CS15B023,CS6530$inside,Course capacity is full.
CS15B023,CS6100$outside,Already allotted to inside department version of the course
CS15B023,PH3520$outside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+CS2800(10 credits)+ and the following electives which have a higher preference got allotted : CS3205(12 credits)+CS6530(12 credits)+CS6100(12 credits)+ and PH3520 takes 9 credits which is greater than the remaining 8 elective credits.
CS15B027,MS3510+$outside,Course capacity is full.
CS15B027,MS3510$outside,Course capacity is full.
CS15B027,EE6418$outside,Slot Clash with already allotted elective course BT2082
CS15B033,CS6847$outside,Already allotted to inside department version of the course
CS15B038,HS2370$outside,Slot Clash with already allotted elective course HS2370A
CS15B038,BT2020$outside,Slot Clash with already allotted elective course HS2370A
CS15B038,HS1110$outside,Slot Clash with already allotted elective course HS2370A
CS15B038,BT2082$outside,Slot Clash with already allotted elective course HS2370A
CS15B038,HS4450$outside,Slot Clash with already allotted elective course HS2370A
CS15B038,HS4002$outside,Slot Clash with already allotted elective course HS2370A
CS15B038,HS3090$outside,Slot Clash with already allotted elective course HS2370A
CS15B038,HS3029$outside,Slot Clash with already allotted elective course HS2370A
CS15B038,HS4030$outside,Slot Clash with already allotted elective course HS2370A
CS15B038,HS4210$outside,Slot Clash with already allotted elective course HS2370A
CS15B039,MA2031$outside,Slot Clash with already allotted elective course MS3510+
CS15B041,CS6847$outside,Already allotted to inside department version of the course
CS15B041,CS6560$inside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+CS2810(6 credits)+CS3205(12 credits)+CS6852(12 credits)+CS6100(12 credits)+ and the following electives which have a higher preference got allotted : CS6847(12 credits)+ and CS6560 takes 12 credits which is greater than the remaining 0 elective credits.
CS15B041,CS6560$outside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+CS2810(6 credits)+CS3205(12 credits)+CS6852(12 credits)+CS6100(12 credits)+ and the following electives which have a higher preference got allotted : CS6847(12 credits)+ and CS6560 takes 12 credits which is greater than the remaining 0 elective credits.
CS15B041,HS4571$outside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+CS2810(6 credits)+CS3205(12 credits)+CS6852(12 credits)+CS6100(12 credits)+ and the following electives which have a higher preference got allotted : CS6847(12 credits)+ and HS4571 takes 9 credits which is greater than the remaining 0 elective credits.
CS15B041,HS1110$outside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+CS2810(6 credits)+CS3205(12 credits)+CS6852(12 credits)+CS6100(12 credits)+ and the following electives which have a higher preference got allotted : CS6847(12 credits)+ and HS1110 takes 9 credits which is greater than the remaining 0 elective credits.
CS15B041,HS4002$outside,For this student max credits in semester is 63 and Core courses registered are BT1010(9 credits)+CS2810(6 credits)+CS3205(12 credits)+CS6852(12 credits)+CS6100(12 credits)+ and the following electives which have a higher preference got allotted : CS6847(12 credits)+ and HS4002 takes 9 credits which is greater than the remaining 0 elective credits.
CS15B043,MS3510$outside,Course capacity is full.
CS15B043,MS3510+$outside,Course capacity is full.
CS15B043,GN6106$outside,Slot Clash with already allotted elective course MS3590
CS15B043,BT2082$outside,Slot Clash with already allotted elective course MS3590
CS15B043,EE6418$outside,Slot Clash with already allotted elective course MS3590
CS15B044,HS3021$outside,Course capacity is full.
CS15B044,CE5730$outside,Slot Clash with already allotted elective course CE4010
CS15B044,MS3510$outside,Slot Clash with already allotted elective course CE4010
CS15B044,MS3590$outside,Slot Clash with already allotted elective course CE4010
CS15B044,MA2020$outside,Slot Clash with already allotted elective course CE4010
CS15B044,BT2022$outside,Slot Clash with already allotted elective course CE4010
CS15B044,MA2030$outside,Slot Clash with already allotted elective course CE4010
CS15B044,ID5030$outside,Slot Clash with already allotted elective course CE4010
CS15B047,CS6852$inside,Slot Clash with already allotted elective course HS4002
CS15B047,CS6852$outside,Slot Clash with already allotted elective course HS4002
CS15B047,HS3090$outside,Slot Clash with already allotted elective course HS4002
CS15B047,HS3280$outside,Slot Clash with already allotted elective course HS4002
CS15B047,HS3280A$outside,Slot Clash with already allotted elective course HS4002
CS15B047,HS4030$outside,Slot Clash with already allotted elective course HS4002
CS15B047,HS4210$outside,Slot Clash with already allotted elective course HS4002
CS15B047,HS3029$outside,Slot Clash with already allotted elective course HS4002
CS15B047,HS4450$outside,Slot Clash with already allotted elective course HS4002
CS15B054,CS6330$outside,Already allotted to inside department version of the course
CS15B054,CS6560$inside,Slot Clash with already allotted elective course CS6330
CS15B054,CS6560$outside,Slot Clash with already allotted elective course CS6330
CS15B054,CS6530$inside,Slot Clash with already allotted elective course CS6330
CS15B054,CS6530$outside,Slot Clash with already allotted elective course CS6330
CS15B054,MS3510+$outside,Slot Clash with already allotted elective course HS4002
CS15B054,MS3510$outside,Slot Clash with already allotted elective course HS4002
CS15B054,HS5920$outside,Slot Clash with already allotted elective course HS4002
CS15B054,HS2370$outside,Slot Clash with already allotted elective course HS4002
CS15B054,HS2370A$outside,Slot Clash with already allotted elective course HS4002
CS15B054,MS3590$outside,Slot Clash with already allotted elective course HS4002
CS16B024,MS3510$outside,Course capacity is full.
CS16B024,MS3510+$outside,Course capacity is full.
CS16B114,HS3090$outside,Course capacity is full.
CS16B114,HS2370A$outside,Slot Clash with already allotted elective course HS2370
CS16B114,HS4030$outside,Slot Clash with already allotted elective course HS2370
ED15B004,ED5260$outside,Already allotted to inside department version of the course
ED15B004,CH5019$outside,Slot Clash with already allotted elective course ED5260
ED15B005,EE6022$outside,Slot Clash with core course ID4100
ED15B010,ED5260$outside,Already allotted to inside department version of the course
ED15B011,ED5018$inside,Slot Clash with already allotted elective course AS5710
ED15B011,ED5018$outside,Slot Clash with already allotted elective course AS5710
ED15B011,ED5012$inside,Course capacity is full.
ED15B012,ED5260$inside,Slot Clash with core course ED5060
ED15B012,ED5260$outside,Slot Clash with core course ED5060
ED15B012,ED5318$outside,Already allotted to inside department version of the course
ED15B015,ED5012$inside,Course capacity is full.
ED15B017,ED5260$outside,Already allotted to inside department version of the course
ED15B017,CH5019$outside,Slot Clash with already allotted elective course ED5260
ED15B018,ED5260$inside,Slot Clash with core course ED5060
ED15B018,ED5260$outside,Slot Clash with core course ED5060
ED15B028,ED5012$inside,Course capacity is full.
ED15B029,HS5920$outside,Course capacity is full.
ED15B029,HS3280$outside,Slot Clash with already allotted elective course HS2370
ED15B029,HS4450$outside,Slot Clash with already allotted elective course HS2370
ED15B029,HS4030$outside,Slot Clash with already allotted elective course HS2370
ED15B029,HS4210$outside,Slot Clash with already allotted elective course HS2370
ED15B029,ED5012$inside,Course capacity is full.
ED15B030,ED5012$inside,Course capacity is full.
ED15B033,HS4210$outside,Slot Clash with core course ED5511
ED15B033,HS4030$outside,Slot Clash with core course ED5511
ED15B033,HS5920$outside,Slot Clash with core course ED5511
ED15B033,ED5012$inside,Course capacity is full.
ED15B039,ED5260$outside,Already allotted to inside department version of the course
ED15B040,ED5260$inside,Slot Clash with core course ED5060
ED15B040,ED5260$outside,Slot Clash with core course ED5060
ED15B040,EE4371$outside,Course capacity is full.
ED15B040,ID5030$inside,Course capacity is full.
ED15B040,ID5030$outside,Course capacity is full.
ED15B040,GN6106$outside,Course capacity is full.
ED15B040,HS3090$outside,Course capacity is full.
ED15B040,HS1110$outside,Course capacity is full.
ED15B040,ED5511$outside,Already allotted to inside department version of the course
ED15B040,ED5018$inside,Slot Clash with already allotted elective course ED5511
ED15B040,ED5018$outside,Slot Clash with already allotted elective course ED5511
ED15B040,ED5318$inside,Slot Clash with already allotted elective course ED5511
ED15B040,ED5318$outside,Slot Clash with already allotted elective course ED5511
ED15B040,HS2370$outside,Slot Clash with already allotted elective course ED5511
ED15B040,HS4030$outside,Slot Clash with already allotted elective course ED5511
ED15B044,ED5260$outside,Already allotted to inside department version of the course
ED15B045,AS5710$outside,Course capacity is full.
ED15B047,ED5260$inside,Slot Clash with core course ED5060
ED15B047,ED5260$outside,Slot Clash with core course ED5060
ED15B047,ED5318$outside,Already allotted to inside department version of the course
ED15B047,ED5511$inside,Slot Clash with already allotted elective course ED5318
ED15B047,ED5511$outside,Slot Clash with already allotted elective course ED5318
ED15B050,ED5260$outside,Already allotted to inside department version of the course
ED15B053,ED5260$outside,Already allotted to inside department version of the course
ED15B054,HS1110$outside,Course capacity is full.
ED15B054,HS3280A$outside,Slot Clash with already allotted elective course HS4030
ED15B054,HS2370A$outside,Slot Clash with already allotted elective course HS4030
ED15B056,EE4371$outside,Course capacity is full.
ED15B056,ED5012$inside,Course capacity is full.
ED16B008,MA2031$outside,Course capacity is full.
ED16B008,ED5018$inside,For this student max credits in semester is 63 and Core courses registered are CY1050(9 credits)+ED2040(12 credits)+ED4060(15 credits)+ED4040(15 credits)+ and the following electives which have a higher preference got allotted : MA2030(9 credits)+ and ED5018 takes 9 credits which is greater than the remaining 3 elective credits.
ED16B008,ED5018$outside,For this student max credits in semester is 63 and Core courses registered are CY1050(9 credits)+ED2040(12 credits)+ED4060(15 credits)+ED4040(15 credits)+ and the following electives which have a higher preference got allotted : MA2030(9 credits)+ and ED5018 takes 9 credits which is greater than the remaining 3 elective credits.
ED16B019,MA2031$outside,Course capacity is full.
ED16B049,MA2031$outside,Course capacity is full.
ED16B049,MA2040$outside,Course capacity is full.
ED16B051,ID5030$outside,Already allotted to inside department version of the course
ED16B051,MA2031$outside,For this student max credits in semester is 63 and Core courses registered are CY1050(9 credits)+ED2040(12 credits)+ED4060(15 credits)+ED4040(15 credits)+ and the following electives which have a higher preference got allotted : ID5030(10 credits)+ and MA2031 takes 9 credits which is greater than the remaining 2 elective credits.
ED16B051,PH5620$outside,Slot Clash with already allotted elective course ID5030
ED16B051,MA2040$outside,For this student max credits in semester is 63 and Core courses registered are CY1050(9 credits)+ED2040(12 credits)+ED4060(15 credits)+ED4040(15 credits)+ and the following electives which have a higher preference got allotted : ID5030(10 credits)+ and MA2040 takes 9 credits which is greater than the remaining 2 elective credits.
ED16B055,HS4210$outside,For this student max credits in semester is 63 and Core courses registered are CY1050(9 credits)+ED2040(12 credits)+ED4060(15 credits)+ED4040(15 credits)+EE1101(10 credits)+ and HS4210 takes 9 credits which is greater than the 2 remaining elective credits.
ED16B055,HS4571$outside,For this student max credits in semester is 63 and Core courses registered are CY1050(9 credits)+ED2040(12 credits)+ED4060(15 credits)+ED4040(15 credits)+EE1101(10 credits)+ and HS4571 takes 9 credits which is greater than the 2 remaining elective credits.
EE15B001,EE5154$outside,Already allotted to inside department version of the course
EE15B002,EE3110$inside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE3007(9 credits)+EE4131(9 credits)+EE5121(12 credits)+EE3203(12 credits)+ and EE3110 takes 12 credits which is greater than the 11 remaining elective credits.
EE15B002,EE3110$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE3007(9 credits)+EE4131(9 credits)+EE5121(12 credits)+EE3203(12 credits)+ and EE3110 takes 12 credits which is greater than the 11 remaining elective credits.
EE15B003,EE5155$outside,Already allotted to inside department version of the course
EE15B004,AS5710$outside,Slot Clash with core course EE4371
EE15B004,MA2040$outside,Course capacity is full.
EE15B004,EE3203$outside,Already allotted to inside department version of the course
EE15B004,EE3402$outside,Already allotted to inside department version of the course
EE15B006,EE3203$inside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4131(9 credits)+EE5111(12 credits)+EE5121(12 credits)+EE3007(9 credits)+ and EE3203 takes 12 credits which is greater than the 11 remaining elective credits.
EE15B006,EE3203$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4131(9 credits)+EE5111(12 credits)+EE5121(12 credits)+EE3007(9 credits)+ and EE3203 takes 12 credits which is greater than the 11 remaining elective credits.
EE15B007,EE5111$outside,Already allotted to inside department version of the course
EE15B007,ID4100$outside,Course capacity is full.
EE15B008,EE5155$outside,Already allotted to inside department version of the course
EE15B008,EE4371$outside,Already allotted to inside department version of the course
EE15B009,EE5141$outside,Already allotted to inside department version of the course
EE15B014,ID5030$outside,Slot Clash with core course EE5141
EE15B014,EE5155$outside,Already allotted to inside department version of the course
EE15B014,EE3110$inside,Slot Clash with already allotted elective course EE5155
EE15B014,EE3110$outside,Slot Clash with already allotted elective course EE5155
EE15B015,EE4371$outside,Already allotted to inside department version of the course
EE15B016,EE5155$outside,Already allotted to inside department version of the course
EE15B017,EE3203$outside,Already allotted to inside department version of the course
EE15B021,EE5141$inside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4131(9 credits)+EE5121(12 credits)+EE3203(12 credits)+EE4371(9 credits)+ and EE5141 takes 12 credits which is greater than the 11 remaining elective credits.
EE15B021,EE5141$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4131(9 credits)+EE5121(12 credits)+EE3203(12 credits)+EE4371(9 credits)+ and EE5141 takes 12 credits which is greater than the 11 remaining elective credits.
EE15B021,ID5030$outside,Course capacity is full.
EE15B021,EE5155$outside,Already allotted to inside department version of the course
EE15B022,MA2031$outside,Course capacity is full.
EE15B022,EE5155$inside,For this student max credits in semester is 63 and Core courses registered are EE2019(17 credits)+ME3100(10 credits)+EE3110(12 credits)+EE3203(12 credits)+ and the following electives which have a higher preference got allotted : CH5019(9 credits)+ and EE5155 takes 10 credits which is greater than the remaining 3 elective credits.
EE15B022,EE5155$outside,For this student max credits in semester is 63 and Core courses registered are EE2019(17 credits)+ME3100(10 credits)+EE3110(12 credits)+EE3203(12 credits)+ and the following electives which have a higher preference got allotted : CH5019(9 credits)+ and EE5155 takes 10 credits which is greater than the remaining 3 elective credits.
EE15B022,MA2030$outside,For this student max credits in semester is 63 and Core courses registered are EE2019(17 credits)+ME3100(10 credits)+EE3110(12 credits)+EE3203(12 credits)+ and the following electives which have a higher preference got allotted : CH5019(9 credits)+ and MA2030 takes 9 credits which is greater than the remaining 3 elective credits.
EE15B022,EE5154$inside,For this student max credits in semester is 63 and Core courses registered are EE2019(17 credits)+ME3100(10 credits)+EE3110(12 credits)+EE3203(12 credits)+ and the following electives which have a higher preference got allotted : CH5019(9 credits)+ and EE5154 takes 12 credits which is greater than the remaining 3 elective credits.
EE15B022,EE5154$outside,For this student max credits in semester is 63 and Core courses registered are EE2019(17 credits)+ME3100(10 credits)+EE3110(12 credits)+EE3203(12 credits)+ and the following electives which have a higher preference got allotted : CH5019(9 credits)+ and EE5154 takes 12 credits which is greater than the remaining 3 elective credits.
EE15B024,EE5155$outside,Already allotted to inside department version of the course
EE15B025,EE5121$outside,Already allotted to inside department version of the course
EE15B025,HS1110$outside,Slot Clash with already allotted elective course EE5121
EE15B026,EE5154$inside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+CS2800(10 credits)+CS2810(6 credits)+EE4371(9 credits)+EE3110(12 credits)+ and the following electives which have a higher preference got allotted : CH5019(9 credits)+ and EE5154 takes 12 credits which is greater than the remaining 7 elective credits.
EE15B026,EE5154$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+CS2800(10 credits)+CS2810(6 credits)+EE4371(9 credits)+EE3110(12 credits)+ and the following electives which have a higher preference got allotted : CH5019(9 credits)+ and EE5154 takes 12 credits which is greater than the remaining 7 elective credits.
EE15B028,EE6419$outside,Already allotted to inside department version of the course
EE15B028,EE5155$outside,Already allotted to inside department version of the course
EE15B028,EE4371$outside,Already allotted to inside department version of the course
EE15B029,HS3021$outside,Course capacity is full.
EE15B029,EE4371$outside,Already allotted to inside department version of the course
EE15B034,EE5121$inside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4371(9 credits)+EE3110(12 credits)+MA2020(9 credits)+EE3203(12 credits)+ and EE5121 takes 12 credits which is greater than the 11 remaining elective credits.
EE15B034,EE5121$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4371(9 credits)+EE3110(12 credits)+MA2020(9 credits)+EE3203(12 credits)+ and EE5121 takes 12 credits which is greater than the 11 remaining elective credits.
EE15B034,EE5141$inside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4371(9 credits)+EE3110(12 credits)+MA2020(9 credits)+EE3203(12 credits)+ and EE5141 takes 12 credits which is greater than the 11 remaining elective credits.
EE15B034,EE5141$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4371(9 credits)+EE3110(12 credits)+MA2020(9 credits)+EE3203(12 credits)+ and EE5141 takes 12 credits which is greater than the 11 remaining elective credits.
EE15B034,HS2370A$outside,Slot Clash with already allotted elective course HS2370
EE15B034,CS2810$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4371(9 credits)+EE3110(12 credits)+MA2020(9 credits)+EE3203(12 credits)+ and the following electives which have a higher preference got allotted : HS2370(9 credits)+ and CS2810 takes 6 credits which is greater than the remaining 2 elective credits.
EE15B034,GN6001$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4371(9 credits)+EE3110(12 credits)+MA2020(9 credits)+EE3203(12 credits)+ and the following electives which have a higher preference got allotted : HS2370(9 credits)+ and GN6001 takes 9 credits which is greater than the remaining 2 elective credits.
EE15B034,HS3280$outside,Slot Clash with already allotted elective course HS2370
EE15B034,HS3280A$outside,Slot Clash with already allotted elective course HS2370
EE15B034,EE6418$inside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4371(9 credits)+EE3110(12 credits)+MA2020(9 credits)+EE3203(12 credits)+ and the following electives which have a higher preference got allotted : HS2370(9 credits)+ and EE6418 takes 9 credits which is greater than the remaining 2 elective credits.
EE15B034,EE6418$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4371(9 credits)+EE3110(12 credits)+MA2020(9 credits)+EE3203(12 credits)+ and the following electives which have a higher preference got allotted : HS2370(9 credits)+ and EE6418 takes 9 credits which is greater than the remaining 2 elective credits.
EE15B035,EE6430$outside,Already allotted to inside department version of the course
EE15B037,EE3203$outside,Already allotted to inside department version of the course
EE15B037,EE3402$inside,Slot Clash with already allotted elective course EE3203
EE15B037,EE3402$outside,Slot Clash with already allotted elective course EE3203
EE15B038,EE4371$outside,Already allotted to inside department version of the course
EE15B040,EE3402$outside,Already allotted to inside department version of the course
EE15B040,EE4371$outside,Already allotted to inside department version of the course
EE15B040,ID4100$outside,Course capacity is full.
EE15B040,EE3110$outside,Already allotted to inside department version of the course
EE15B041,EE5154$outside,Already allotted to inside department version of the course
EE15B043,EE4371$inside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE3203(12 credits)+EE5141(12 credits)+EE5320(12 credits)+EE6418(9 credits)+ and EE4371 takes 9 credits which is greater than the 8 remaining elective credits.
EE15B043,EE4371$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE3203(12 credits)+EE5141(12 credits)+EE5320(12 credits)+EE6418(9 credits)+ and EE4371 takes 9 credits which is greater than the 8 remaining elective credits.
EE15B044,MA2040$outside,Course capacity is full.
EE15B045,EE3203$outside,Already allotted to inside department version of the course
EE15B045,MS3510+$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4371(9 credits)+EE5141(12 credits)+EE5121(12 credits)+ and the following electives which have a higher preference got allotted : EE3203(12 credits)+ and MS3510+ takes 9 credits which is greater than the remaining 8 elective credits.
EE15B045,MS3510$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4371(9 credits)+EE5141(12 credits)+EE5121(12 credits)+ and the following electives which have a higher preference got allotted : EE3203(12 credits)+ and MS3510 takes 9 credits which is greater than the remaining 8 elective credits.
EE15B045,EE3110$inside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4371(9 credits)+EE5141(12 credits)+EE5121(12 credits)+ and the following electives which have a higher preference got allotted : EE3203(12 credits)+ and EE3110 takes 12 credits which is greater than the remaining 8 elective credits.
EE15B045,EE3110$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE4371(9 credits)+EE5141(12 credits)+EE5121(12 credits)+ and the following electives which have a higher preference got allotted : EE3203(12 credits)+ and EE3110 takes 12 credits which is greater than the remaining 8 elective credits.
EE15B048,EE5341$outside,Already allotted to inside department version of the course
EE15B054,EE3110$outside,Already allotted to inside department version of the course
EE15B054,EE3203$inside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE5121(12 credits)+EE3402(11 credits)+EE5141(12 credits)+ and the following electives which have a higher preference got allotted : EE3110(12 credits)+ and EE3203 takes 12 credits which is greater than the remaining 6 elective credits.
EE15B054,EE3203$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE5121(12 credits)+EE3402(11 credits)+EE5141(12 credits)+ and the following electives which have a higher preference got allotted : EE3110(12 credits)+ and EE3203 takes 12 credits which is greater than the remaining 6 elective credits.
EE15B056,EE5155$outside,Already allotted to inside department version of the course
EE15B056,EE5141$outside,Already allotted to inside department version of the course
EE15B057,EE3402$outside,Already allotted to inside department version of the course
EE15B057,MA2020$outside,Slot Clash with already allotted elective course MA2040
EE15B058,ID4100$outside,Course capacity is full.
EE15B058,ID5030$outside,Course capacity is full.
EE15B058,EE5121$inside,Course capacity is full.
EE15B058,EE5121$outside,Course capacity is full.
EE15B059,EE5121$inside,Course capacity is full.
EE15B059,EE5141$outside,Already allotted to inside department version of the course
EE15B059,MS3590$outside,Course capacity is full.
EE15B059,EE3203$outside,Already allotted to inside department version of the course
EE15B060,EE6418$inside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE5320(12 credits)+EE3203(12 credits)+EE4371(9 credits)+EE5121(12 credits)+ and EE6418 takes 9 credits which is greater than the 8 remaining elective credits.
EE15B060,EE6418$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE5320(12 credits)+EE3203(12 credits)+EE4371(9 credits)+EE5121(12 credits)+ and EE6418 takes 9 credits which is greater than the 8 remaining elective credits.
EE15B060,MA2020$outside,For this student max credits in semester is 63 and Core courses registered are ME3100(10 credits)+EE5320(12 credits)+EE3203(12 credits)+EE4371(9 credits)+EE5121(12 credits)+ and MA2020 takes 9 credits which is greater than the 8 remaining elective credits.
EE15B062,BT3041$outside,Course capacity is full.
